Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.175,$42.74M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,2.03,$63.18M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",9.45,$610.33M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),18,$145.25M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,50.87,$1.32B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",7.145,$803.81M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
XXII,"22nd Century Group, Inc",1.99,$245.68M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
TWOU,"2U, Inc.",63.89,$3.32B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,8.99,$1.02B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,232.22,$138.31B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,10.19,$415.42M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
JOBS,"51job, Inc.",61.28,$3.76B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,68.29,$9.94B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
CAFD,8point3 Energy Partners LP,15.36,$1.21B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,13.9,$1.28B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.075,$360.98M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",39.35,$1.16B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AHC,A.H. Belo Corporation,5.05,$109.85M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",7.41,$524.38M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",10.08,$242.53M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AAON,"AAON, Inc.",34.45,$1.81B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AIR,AAR Corp.,40.4,$1.4B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",36.43,$2.64B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABAX,"ABAXIS, Inc.",47.49,$1.08B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABB,ABB Ltd,26.2,$55.92B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,55.47,$96.38B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,92.31,$147.15B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ABEO,Abeona Therapeutics Inc.,16.5,$769.93M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,11.55,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ANF,Abercrombie & Fitch Company,11.82,$804.79M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.02,$1.27B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,6.3,$143.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",8.835,$82.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.384,$136.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",9,$78.52M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
GCH,"Aberdeen Greater China Fund, Inc.",12.24,$107.92M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
IF,"Aberdeen Indonesia Fund, Inc.",7.71,$71.37M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",20.11,$79.34M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.18,$122.81M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",12.42,$92.14M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABIL,Ability Inc.,0.6316,$16.27M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",194.9,$8.61B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,20.95,$1.57B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx
ABM,ABM Industries Incorporated,41.06,$2.67B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AXAS,Abraxas Petroleum Corporation,2.22,$368.19M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,11.3,$643.22M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",36.82,$1.44B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,4.5,$227.69M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",29.95,$2.63B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,35.86,$4.39B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
AKR,Acadia Realty Trust,27.38,$2.29B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACST,"Acasti Pharma, Inc.",1.28,$18.86M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",17.95,$992.6M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,37.02,$1.66B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ACN,Accenture plc,144.04,$91.5B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ANCX,Access National Corporation,28.85,$589.89M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ACCO,Acco Brands Corporation,12.85,$1.4B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ARAY,Accuray Incorporated,4.7,$393.65M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",1.975,$89.63M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,18.0685,$13.36M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer
ACERW,Acer Therapeutics Inc.,0.0525,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw
ACET,Aceto Corporation,9.89,$303.04M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
